Kode;Kodetekst 
F03;Purulent sekret fra øyet
F03;Rennende øye
F03;Tåreflod
F03;Purulent sekret
F03;Våte øyne
F04;Synlige flekker/tråder i synsfeltet
F04;Mouches volantes
F04;Synsforstyrrelse flekker/tråder
F04;Øye flytende flekker/tråder
F04;Faste og flytende flekker/tråder i synsfelt
F05;Synsforstyrrelse IKA
F05;Diplopi
F05;Dobbeltsyn
F05;Flimmerskotom
F05;Lysskyhet
F05;Nedsatt mørkesyn INA
F05;Samsyn forstyrret IKA
F05;Synsforstyrrelse INA
F05;Synsforstyrrelse lesevansker
F05;Synsforstyrrelse samsyn IKA
F05;Synsforstyrrelse tåkesyn
F05;Synstap plutselig forbigående
F05;Synstap uspesifisert
F05;Øye overanstrengelse/astenopi
F05;Øye tretthet/astenopi
F05;Lesevansker pga synsfortyrrelse
F05;Nedsatt mørkesyn
F05;Øye overbelastning
F05;Plutselig blindhet
F05;Tåkesyn
F13;Øye unormal følelse
F13;Øye irritasjon
F13;Øye kløe
F13;Øye ruskfølelse
F13;Øye sandpapirfølelse
F13;Øye svie/brenning
F13;Kløende øye
F13;Sviende/tørt øye
F14;Øye unormal bevegelse
F14;Blunking unormal
F14;Nystagmus INA
F14;Nystagmus latent
F14;Øye mysing INA
F14;Nystagmus
F15;Øye unormalt utseende
F15;Øye hovent
F15;Øyefarge endret/avvikende
F15;Endring av øyefarge
F15;Hovent øye
F16;Øyelokk symptomer/plager
F16;Lagoftalmus
F16;Ptose av øyelokk
F16;Xantelasme øyelokk
F16;Øyelokk degenerativ
F16;Øyelokk løs/overflødig hud
F16;Øyelokk sammenvoksning
F16;Ptose øyelokk
F16;Unormal blinking
F17;Briller symptomer/plager
F17;Problem med briller
F17;Dårlig tilpasset anatomisk
F17;Gir synsfortyrrelse
F17;Ikke funksjonell i bruk
F18;Kontaktlinser symptomer/plager
F18;Problem med kontaktlinser
F18;Dårlig tilpasset anatomisk
F18;Gir synsfortyrrelse
F18;Ikke funksjonell i bruk
F27;Engstelig for øyesykdom
F27;Engstelig for synet
F27;Redd for å bli blind
F28;Redusert funksjonsevne pga øyeproblem
F28;Blindhet ett øye
F28;Redusert funksjonsevne synsproblemer
F28;Synstap ett øye
F28;Funksjonshemning pga øyeproblem
F29;Øye symptomer/plager IKA
F29;Anisokori INA
F29;Miose INA
F70;Infeksiøs konjunktivitt
F70;Blefarokonjunktivitt
F70;Konjunktivitt akutt INA
F70;Konjunktivitt bakteriell
F70;Konjunktivitt klamydia
F70;Konjunktivitt kronisk
F70;Konjunktivitt virus
F70;Purulent konjunktivitt
F70;Bakteriell/viral konkjunktivitt
F70;Konjunktivitt INA
F71;Allergisk konjunktivitt
F71;Allergisk konkunktivitt med/uten rennende nese
F72;Øyelokkbetennelse
F72;Abscess øyelokk
F72;Blefaritt
F72;Chalazion
F72;Hordeolum
F72;Meiboms cyste infisert
F72;Sti på øyelokk
F72;Øyelokksdermatitt
F72;Dermatitt øyelokk
F72;Infeksjon øyelokk
F72;Meibomsk cyste
F72;Sti
F72;Tarsalcyste
F73;Øye infeksjon/betennelse IKA
F73;Abscess øyehule/orbita
F73;Chorioretinal betennelse
F73;Cyste iris/corpus ciliare
F73;Dakryocystitt
F73;Granulom øyehule/orbita
F73;Herpes konjunktivitt/keratitt
F73;Hornhinne nydannelse blodkar
F73;Hyphema
F73;Infeksjon/betennelse øyehule
F73;Iridosyklitt akutt
F73;Iridosyklitt INA
F73;Iridosyklitt kronisk
F73;Iris bombé
F73;Irisatrofi
F73;Irisrubeose
F73;Iritt akutt
F73;Keratitt dyp/interstitiell
F73;Keratitt INA
F73;Keratitt overfladisk
F73;Keratokonjunktivitt
F73;Oftalmi
F73;Pupillemembran
F73;Retinitt
F73;Synekier øye
F73;Toksoplasma-okulopati
F73;Tåreveisbetennelse kronisk
F73;Tåreveisinfeksjon akutt
F73;Uveitt akutt
F73;Betennelse regnbuehinne/iris
F73;Dacrocystitt/dakryocystitt
F73;Herpes simplex i øyet uten hornhinnesår
F73;Inflammasjonstilstand i orbita
F73;Iridosyklitt
F73;Keratitt
F74;Svulst i øye/øyehule
F74;Carcinoma in situ øye/øyehule
F74;Godartet svulst øye/øyehule
F74;Ondartet svulst øye/øyehule
F74;Uspesifisert svulst øye
F74;Godartet/ondartet svulst i øye og nære omgivelser
F75;Kontusjon/blødning i øye
F75;Blødning konjunktiva
F75;Blått øye/blåveis
F75;Kontusjon av øyeeple
F75;Subkonjunktivalblødning
F75;Traumatisk hyphema
F75;Blått øye
F75;Subkonjunktival blødning
F75;Traumatisk hyfema
F76;Fremmedlegeme i øye
F76;Fremmedlegeme fremre del øye INA
F76;Fremmedlegeme konjunktivalsekk
F76;Fremmedlegeme på hornhinne
F79;Skade i øye IKA
F79;Brannskade øye
F79;Eksplosjonsskade øye
F79;Elektrisk skade øye
F79;Enukleasjon traumatisk
F79;Etseskade konjunktiva
F79;Etseskade øye
F79;Fremmedlegeme øye retinert magnetisk
F79;Fremmedlegeme øye retinert
F79;Hornhinneabrasjon
F79;Hornhinnesår traumatisk
F79;Laserasjon av øye INA
F79;Overflateskade øyelokk
F79;Penetrasjonsskade øye INA
F79;Skade hornhinne
F79;Skade konjunktiva
F79;Skade øye INA
F79;Skade øyehule
F79;Snøblindhet
F79;Sveiseblink
F79;Utrivning av øye
F79;Øyelaserasjon
F79;Åpent sår øyelokk
F79;Hornhinneskader
F80;Tåreveisstenose/atresi hos spedbarn
F80;Medfødt feil tåreveisstenose
F80;Striktur tårekanal spedbarn
F80;Tårekanal blokkert spedbarn
F81;Medfødt feil i øye IKA
F81;Anisokori medfødt
F81;Iriskolobom
F81;Medfødt feil glasslegeme
F81;Medfødt feil hornhinne
F81;Medfødt feil katarakt
F81;Medfødt feil linse
F81;Medfødt feil netthinne
F81;Medfødt feil ptosis
F81;Medfødt feil regnbuehinne
F81;Medfødt feil tårevei INA
F81;Medfødt feil øye bakre del
F81;Medfødt feil øye fremre del
F81;Medfødt feil øyehule
F81;Medfødt feil øyelokk
F82;Netthinneløsning/rift
F82;Ablatio retinae
F82;Amotio retinae
F82;Netthinneløsning
F82;Netthinnerift
F83;Retinopati
F83;Netthinnedegenerasjon perifer
F83;Retinitt ikke infeksiøs
F83;Retinopati aterosklerotisk
F83;Retinopati diabetisk
F83;Retinopati hos prematur
F83;Retinopati hypertensiv
F83;Retinopati karforandringer
F83;Retinopati kartrombose
F83;Retinopati proliferativ
F83;Retrolental fibroplasi
F83;ROP (retinopathy of prematurity)
F83;Diabetisk retinopati/øyebunnsforandringer
F83;Retinopati ved hypertensjon
F84;Makuladegenerasjon
F85;Hornhinnesår
F85;Keratitis dendritica
F85;Keratitt herpes
F85;Keratoconjunctivitis sicca
F85;Keratokonjunktivitt herpes
F85;Ulcus corneae (ikke-traumatisk)
F85;Viruskeratitt
F86;Trakom
F86;Følgetilstand etter trakom
F91;Brytningsforstyrrelse
F91;Akkomodasjonsforstyrrelse
F91;Alderslangsynthet
F91;Anisometropi
F91;Astigmatisme
F91;Brytningsfeil forskjell øyne
F91;Hypermetropi
F91;Langsynthet
F91;Myopi
F91;Nærsynthet
F91;Presbyopi
F91;Refraksjonsanomali INA
F91;Skjev hornhinne
F92;Grå stær/katarakt
F92;Grå stær aldersbetinget hypermatur
F92;Grå stær aldersbetinget kjernestær
F92;Grå stær aldersbetinget kortikal
F92;Grå stær aldersbetinget punktformet
F92;Grå stær infantil/juvenil
F92;Grå stær legemiddelbivirkning
F92;Grå stær presenil
F92;Grå stær ved diabetes mellitus
F92;Grå stær/katarakt aldersbetinget
F92;Grå stær/katarakt etter skade
F92;Grå stær/katarakt komplisert
F92;Grå stær/katarakt sekundær
F93;Glaukom
F93;Glaukom etter annen øyesykdom
F93;Glaukom etter skade
F93;Glaukom etter øyebetennelse
F93;Glaukom legemiddelbivirkning
F93;Glaukom mistenkt
F93;Glaukom trangvinkel
F93;Glaukom vanlig kronisk
F93;Grønn stær
F93;Øyetrykk forhøyet
F93;Hevet intraokulært trykk
F94;Blindhet
F94;Blindhet begge øyne
F94;Blindhet ett øye nedsatt syn andre
F94;Nedsatt syn begge øyne
F94;Synssvekkelse begge øyne INA
F94;Nedsatt syn/blindhet begge øyne
F95;Skjeling/strabisme
F95;Binokulærfunksjon forstyrret INA
F95;Blikkparese
F95;Heterofori
F95;Heterotropi IKA
F95;Innoverskjeling
F95;Oftalmoplegi (ytre)
F95;Paralytisk strabisme
F95;Skjeling latent
F95;Skjeling øyemuskellammelse
F95;Skjeling/strabisme divergent
F95;Skjeling/strabisme intermitterende
F95;Skjeling/strabisme konvergent
F95;Skjeling/strabisme vertikal
F95;Utoverskjeling
F95;Skjeling
F95;Skjeløyd
F99;Øyesykdom IKA
F99;Afaki
F99;Akromatopsi
F99;Amblyopi pga skjeling/anisometropi
F99;Amblyopia ex anopsia
F99;Arcus senilis
F99;Arr konjunktiva
F99;Arterieokklusjon netthinne
F99;Dakryops
F99;Eksoftalmus pga blødning/ødem
F99;Ektropion øyelokk
F99;Enoftalmus
F99;Entropion øyelokk
F99;Episkleritt
F99;Fargeblindhet
F99;Glasslegemeforandringer INA
F99;Glasslegemefordunklinger
F99;Hemianopsi
F99;Hornhinne arr
F99;Hornhinne fordunkling
F99;Hornhinne pigmentering/avleiring
F99;Hornhinnedegenerasjon
F99;Keratokonus
F99;Konjunktival degenerasjon
F99;Konjunktival pigmentering/avleiring
F99;Korpusblødning
F99;Korpusfordunklinger
F99;Korpusprolaps
F99;Linsedislokasjon
F99;Nattblindhet
F99;Netthinneblødning
F99;Netthinnedystrofi arvelig
F99;Netthinnesykdom INA
F99;Optikusnevritt INA
F99;Papilleødem INA
F99;Pterygium
F99;Pupillefunksjon patologisk
F99;Pupillerefleks unormal
F99;Retinitis pigmentosa
F99;Retrobulbær nevritt INA
F99;Siderose i øye
F99;Skleritt
F99;Skotom INA
F99;Sykdom hornhinne INA
F99;Sykdom konjunktiva INA
F99;Sykdom linse INA
F99;Sykdom senehinne/sklera INA
F99;Sykdom årehinne INA
F99;Symblefaron
F99;Synsbane forstyrrelse/sykdom INA
F99;Synsfeltsdefekt
F99;Synsnerve iskemi/blødning
F99;Synsnerveatrofi
F99;Synsnervebetennelse
F99;Tørt øye-syndrom
F99;Tårekjertelatrofi
F99;Tårekjertelbetennelse
F99;Tåreproduksjon insuffisient
F99;Tårepunkteversjon
F99;Tåreveisfistel
F99;Tåreveisproblem INA
F99;Tåreveisstenose
F99;Ødem hornhinne
F99;Ødem/hyperemi konjunktiva
F99;Øyeepleforandring/sykdom INA
F99;Øyelokk hevelse
F99;Øyelokk kløe
F99;Øyelokk lammelse
F99;Øyelokk trikiasis
F99;Øyelokkshår innovervendt
F99;Amblyopi
F99;Annen sykdom i øyehule
F99;Ektropion
F99;Entropion
F99;Hornhinnefordunkling
F99;Innovervendt øyevipp
F99;Papilleødem
F99;Trege øyne
H01;Øresmerte/øreverk
H01;Otalgi
H01;Øresting
H02;Hørsel symptomer/plager
H02;Diplakusi
H02;Dobbelthørsel
H02;Hyperakusi
H02;Hørsel lydforvrengning
H02;Hørsel lydoppfatning unormal
H02;Hørselsdiskriminering nedsatt
H02;Auditiv diskriminerings lidelse
H02;Dobbelthørsel og følelse av hørselstap
H02;Hyperakusis
H03;Øresus
H03;Tinnitus
H03;Øresus banking/pulslyd
H03;Ekko i øre
H04;Øreflod/sekresjon
H04;Otoré
H04;Øre utflod/puss
H04;Ørerenning
H05;Blødning øre
H05;Otoragi
H05;Øreblødning
H05;Blod i/fra øre
H13;Øreplugg/øretetthet
H13;Øreklapp/øredottfornemmelse
H13;Øretetthet
H15;Bekymret/opptatt av ørenes utseende
H27;Engstelig for hørselsproblemer/øresykdom
H27;Engstelig for hørselstap
H27;Engstelig for døvhet
H28;Redusert funksjonsevne pga øreproblem
H28;Døvblind
H28;Funksjonshemning hørsel
H28;Hørselshemmet
H28;Midlertidig døvhet
H29;Øre symptomer/plager IKA
H29;Øre kløe
H29;Øre knitring/smelling
H29;Kløe i øre
H70;Ytre øre betennelse
H70;Abscess/byll ytre øre/øregang
H70;Akutt ekstern otitt
H70;Badeøre
H70;Betennelse ytre øre hemoragisk
H70;Betennelse ytre øre ondartet
H70;Betennelse ytre øre/øregang akutt
H70;Betennelse ytre øre/øregang INA
H70;Betennelse ytre øre/øregang kron
H70;Cellulitt ytre øre/øregang
H70;Dermatitt ytre øre/øregang
H70;Furunkel ytre øre/øregang
H70;Karbunkel ytre øre/øregang
H70;Keratosis obturans
H70;Kolesteatom ytre øre/øregang
H70;Otitis eksterna chronica
H70;Otitis externa acuta
H70;Øregangsbetennelse hemoragisk
H70;Øregangseksem akutt
H70;Abscess/eksem/furunkel i ytre øregang
H71;Mellomørebetennelse akutt
H71;Abscess akutt ørebensknute
H71;Empyem akutt ørebensknute
H71;Mastoiditt akutt
H71;Mellomørebetennelse akutt enkel
H71;Mellomørebetennelse akutt purulent
H71;Myringitt akutt
H71;Myringitt bulløs
H71;Otitis media suppurativa acuta
H71;Otitt akutt enkel
H71;Otitt akutt purulent
H71;Tympanitt akutt
H71;Akutt mastoiditt
H71;Akutt suppurativ mellomørebetennelse
H71;Akutt tympanitt
H71;Mellomørebetennelse IKA
H72;Mellomørebetennelse serøs
H72;Mellomørebetennelse akutt ikke-purul
H72;Mellomørebetennelse akutt serøs
H72;Mellomørebetennelse kronisk serøs
H72;Otitis media serosa acuta
H72;Otitis media serosa chronica
H72;Otitt akutt serøs
H72;Klistret øre
H72;Mellomørebetennelse med effusjon
H73;Tuba auditiva betennelse
H73;Tuba auditiva dysfunksjon INA
H73;Tuba auditiva stenose/striktur
H73;Tuba auditiva tett/obstruert
H73;Øretrompet betennelse
H73;Obstuksjon av tuba auditiva
H74;Mellomørebetennelse kronisk
H74;Kolesteatom mellomøre
H74;Kolesteatom trommehule
H74;Mastoiditt INA
H74;Mastoiditt kronisk
H74;Mellomørebetennelse kronisk attikoantral
H74;Myringitt kronisk
H74;Otitis media suppurativa chronica
H74;Otitt kronisk purulent
H74;Petrositt
H74;Tympanitt kronisk
H74;Kolesteatom
H74;Kronisk suppurativ mellomørebetennelse
H74;Kronisk/uspesifisert mastoiditt
H75;Svulst i øre
H75;Godartet svulst mellomøre
H75;Ondartet svulst indre øre
H75;Ondartet svulst mellomøre
H75;Uspesifisert svulst indre øre
H75;Godartet/ondartet svulst i øre
H76;Fremmedlegeme i øre
H76;Fremmedlegeme mellomøre
H77;Perforert trommehinne IKA
H78;Overflateskade på ytre øre
H78;Hematom ytre øre
H78;Kontusjon ytre øre
H78;Skade øregang og øremusling
H79;Skade øre IKA
H79;Amputasjon traumatisk ytre øre
H79;Knusningsskade ytre øre
H79;Kutt ytre øre
H79;Myringitt traumatisk
H79;Otittisk barotraume
H79;Skade trommehinne perforasjon/ruptur
H79;Skade trommehinne
H79;Skade øre INA
H79;Trykkskade trommehinne
H79;Åpent sår ytre øre
H79;Åpent sår, kutt, knusningsskae, amputasjon
H79;Ruptur trommehinne pga overtrykk
H80;Medfødt feil i øre
H80;Darwins knute øre
H80;Makroti
H80;Medfødt feil aurikkel aksessorisk
H80;Medfødt feil aurikkel mangel på
H80;Medfødt feil indre øre
H80;Medfødt feil mellomøret
H80;Medfødt feil tuba auditiva
H80;Medfødt feil øregang
H80;Mikroti
H80;Øreflipp manglende
H80;Ører lavtstående
H80;Ører små medfødt
H80;Ører spisse medfødt
H80;Ører store medfødt
H80;Ører utstående medfødt
H80;Aksessorisk aurikkel
H80;Flaggermusører
H81;Ørevoks
H81;Cerumen obliterans
H81;Vokspropp
H82;Svimmelhetssyndrom
H82;Endolymfatisk hydrops
H82;Labyrintitt
H82;Ménières sykdom
H82;Svimmelhet godartet paroksysmal
H82;Svimmelhet sentral opprinnelse
H82;Svimmelhet stillingsbetinget
H82;Svimmelhet vestibularisnevritt
H82;Svimmelhet vestibulær IKA
H82;Svimmelhet/vertigo labyrintitt
H82;Svimmelhet/vertigo Ménières
H82;Svimmelhet/vertigo otogen
H82;Svimmelhet/vertigo smittsom
H82;Vertigo epidemica
H82;Vertigo godartet paroksysmal
H82;Vertigo sentral opprinnelse
H82;Vertigo vestibularisnevritt
H82;Vertigo vestibulær IKA
H82;Vestibularisnevritt
H82;Forstyrrelse i vestibularisfunksjon
H82;Godartet paroksysmal-/-stillingssvimmelhet
H83;Otosklerose
H83;Hørselstap mekanisk otosklerose
H83;Tunghørt otosklerose
H84;Hørselstap aldersbetinget
H84;Presbyacusis
H84;Tunghørt aldersbetinget
H85;Hørselstap pga støyskade
H85;Akustisk traume
H85;Larmskade hørsel
H85;Skade hørsel støyfremkalt
H85;Tunghørt støy-/larmskade
H85;Støyfremkalt hørselstap
H86;Døvhet/hørselstap IKA
H86;Døvhet INA
H86;Døvhet medfødt
H86;Døvstumhet IKA
H86;Hørselstap akutt idiopatisk
H86;Hørselstap medfødt
H86;Hørselstap mekanisk bilateralt
H86;Hørselstap mekanisk INA
H86;Hørselstap mekanisk unilateralt
H86;Hørselstap mekanisk/nevrogent bilat
H86;Hørselstap mekanisk/nevrogent unilat
H86;Hørselstap nevrogent bilateralt
H86;Hørselstap nevrogent INA
H86;Hørselstap nevrogent unilateralt
H86;Hørselstap ototoksisk
H86;Tunghørt INA
H86;Delvis/fullstendig døvhet begge ører
H86;Døvhet ett øre
H86;Medfødt døvhet
H99;Øresykdom IKA
H99;Deformitet aurikkel ervervet
H99;Døvhet iskemisk forbigående
H99;Eksostose ytre øre/øregang
H99;Mellomørebetennelse med adhesjoner
H99;Otitt med adhesjoner
H99;Perikondritt ytre øre
H99;Polypp mellomøret
H99;Stenose ytre øre/øregang ervervet
H99;Sykdom indre øre INA
H99;Sykdom mellomøret INA
H99;Sykdom ytre øre/øregang INA
H99;Trommehinne sykdom INA
H99;Tympanosklerose
H99;Øreknokler ankylose
H99;Øreknokler dislokasjon
H99;Øreknokler luksasjon
H99;Forbigående døvhet
H99;Innsnevret og trang yttre øregang
H99;Polypp i mellomøret
H99;Stenose
K01;Smerte relatert til hjertet
K01;Brystsmerte med utstråling
K01;Brystsmerte nattlig
K01;Brystsmerte ved anstrengelse
K01;Smerte prekordialt
K01;Smerte retrosternalt
K01;Smerte relatert til hjerte
K02;Trykk/sammensnøring hjertet
K02;Trykk for brystet
K02;Tunghetsfølelse hjertet
K03;Smerte relatert til kretsløpet IKA
K03;Smerte vener
K04;Hjertebank
K04;Bradykardi INA
K04;Hjerteslag hurtige
K04;Hjerteslag kraftige/ubehagelige
K04;Hjerteslag langsomme
K04;Palpitasjoner
K04;Puls hurtig
K04;Puls langsom
K04;Takykardi INA
K04;Bradykardi
K04;Takykardi
K05;Uregelmessige hjerteslag IKA
K05;Hjerteslag unormale INA
K05;Puls unormal INA
K05;Puls uregelmessig IKA
K06;Utvidede vener
K06;Angioma stellata
K06;Prominerende vener
K06;Stjernenevus
K06;Utvidede slyngete vener
K06;Økt venetegning
K06;Unormalt fremtrendende vener
K06;telangiektasi
K07;Hovne ankler/ødem
K07;Ankelødem
K07;Vatersott
K07;Væskeretensjon INA
K07;Ødem deklivt
K07;Ødem generalisert
K07;Ødem INA
K07;Ødem lokalisert
K07;Hevelse føtter/legger
K07;Væskeretensjon
K22;Økt risiko for hjerte-karsykdom
K22;Hjerneslag familiær belastning
K22;Hjerte-karsykdom i sykehistorien
K22;Hjertesykdom familiær belastning
K22;Høyt blodtrykk familiær belastning
K22;Andre risikofaktorer for hjerte-karsykdom
K22;Hjerte-karsykdom i familien
K22;Tidligere episode av hjerte-karsykdom
K24;Engstelig for hjertesykdom
K24;Engstelig for hjerteinfarkt
K25;Engstelig for høyt blodtrykk
K27;Engstelig for hjerte-karsykdom IKA
K27;Engstelig for slag
K28;Redusert funksjonsevne pga hjerte-karproblem
K28;Redusert funksjonsevne hjertesykdom
K29;Hjerte-karsystemet symptomer/plager IKA
K29;Hjerte svakt
K29;Kalde ekstremiteter
K29;Kalde føtter
K29;Lavt blodtrykk IKA
K29;Lavt blodtrykk symptomer/plager
K29;Perifer sirkulasjon nedsatt
K29;Puls svak INA
K29;Hjertetrøbbel
K29;Lavt blodtrykk
K29;Svakt hjerte
K70;Infeksjon i hjerte-karsystemet
K70;Endokarditt akutt ikke-reumatisk
K70;Endokarditt akutt INA
K70;Endokarditt akutt infeksiøs
K70;Endokarditt hjerteklaff INA
K70;Myokarditt akutt INA
K70;Myokarditt akutt infeksiøs
K70;Perikarditt akutt idiopatisk
K70;Perikarditt akutt INA
K70;Perikarditt akutt infeksiøs
K70;Akutt/subakutt endokarditt
K70;Bakteriell endokarditt
K70;Ikke-reumatisk perikarditt
K70;Myokarditt
K71;Reumatisk feber/hjertesykdom
K71;Aortainsuffisiens reumatisk
K71;Aortastenose reumatisk
K71;Endokarditt reumatisk
K71;Giktfeber akutt med hjertesykdom
K71;Giktfeber akutt uten hjertesykdom
K71;Giktfeber med chorea
K71;Klaffesykdom reumatisk
K71;Mitralinsuffisiens reumatisk
K71;Mitralstenose reumatisk
K71;Myokarditt reumatisk
K71;Perikarditt reumatisk
K71;Reumatisk aortaklaffefeil
K71;Reumatisk artritt akutt u/hjertesykd
K71;Reumatisk hjerteklaffefeil flere
K71;Reumatisk hjerteklaffefeil
K71;Reumatisk hjertesykdom akutt
K71;Reumatisk mitralklaffefeil INA
K71;Reumatisk triskupidalklaffefeil
K71;Trikuspidalstenose reumatisk
K71;Triskupidalinsuffisiens reumatisk
K71;Chorea
K72;Svulst i hjerte
K72;Godartet svulst hjerte
K72;Godartet svulst mediastinum
K72;Ondartet svulst hjerte
K72;Uspesifisert svulst hjerte
K72;Uspesifisert svulst mediastinum
K72;Godartet/ondartet hjerte-kar svulst
K73;Medfødt feil i hjerte-karsystemet
K73;ASD (atrieseptumdefekt)
K73;Atrieseptumdefekt
K73;Atrioventrikulær septumdefekt
K73;Coarctatio aortae
K73;Ductus arteriosus åpen
K73;Endokardial fibroelastose
K73;Fallots tetrade
K73;Hjertefeil medfødt
K73;Medfødt feil aorta
K73;Medfødt feil hjerte
K73;Medfødt feil hjertekamre
K73;Medfødt feil hjerteklaff
K73;Medfødt feil hjerteskillevegg
K73;Medfødt feil perifere karsystem
K73;Ventrikkelseptumdefekt
K73;VSD (ventrikkelseptumdefekt)
K73;Åpen ductus arteriosus
K73;Septumdefekter i atrier og ventrikler
K74;Iskemisk hjertesykdom med angina pectoris
K74;Angina pectoris anstrengelse
K74;Angina pectoris INA
K74;Angina pectoris residiv
K74;Angina pectoris spasmeutløst
K74;Angina pectoris ustabil
K74;Angina Prinzmetal
K74;Crescendo-angina
K74;Hjertekrampe INA
K74;Iskemisk hjertesykdom akutt INA
K74;Koronartrombose uten hjerteinfarkt
K74;Preinfarktsyndrom
K74;Spasmeangina
K74;Angina pectoris
K74;Angina ved anstrengelse
K74;Iskemisk brystsmerter
K74;Ustabil angina
K75;Akutt hjerteinfarkt
K75;Hjerteinfarkt akutt 1 gang
K75;Hjerteinfarkt akutt gjentatt
K75;Hjerteinfarkt akutt med komplikasjoner
K75;Postinfarktsyndrom
K75;Reinfarkt akutt
K75;Akutt iskemisk hjertesykdom uten infarkt
K75;Hjerteinfarkt påvist akutt eller innen 4 uker fra start
K76;Iskemisk hjertesykdom kronisk IKA
K76;Angina pectoris operert
K76;Aterosklerotisk hjertesykdom
K76;CAD (coronary artery disease)
K76;CHD (coronary heart disease)
K76;Hjerteaneurisme
K76;Hjerteinfarkt gammelt
K76;Hjerteinfarkt helet
K76;Iskemisk hjertesykdom INA
K76;Iskemisk hjertesykdom operert
K76;Kardiomyopati iskemisk
K76;Kardiosklerose
K76;Koronar aterosklerose operert
K76;Koronar hjertesykdom INA
K76;Koronarsklerose
K76;Myokardiskemi stum
K76;Gammelt hjerteinfarkt
K76;Iskemisk kardiomyopati
K76;Koronararteriesykdom
K76;Stum iskemi
K77;Hjertesvikt
K77;Hjerteastma
K77;Hjertesvikt høyresidig
K77;Hjertesvikt kongestiv
K77;Hjertesvikt venstresidig
K77;Lungeødem akutt
K77;Hjertesvikt IKA
K77;Hjertesykdom/hjertesvikt med lungeødem
K77;Høyre ventrikkelsvikt
K77;Kardial astma
K77;Stuvningssvikt
K77;Venstre ventrikkelsvikt
K78;Atrieflimmer/flutter
K78;Atrieflimmer
K78;Atrieflutter
K79;Paroksysmal takykardi
K79;Supraventrikulær takykardi
K79;Ventrikulær takykardi
K79;Supraventrikulær/ventrikulær takykardi
K80;Hjertearytmi IKA
K80;Bigemini
K80;Ekstrasystoler
K80;Ektopiske hjerteslag
K80;Galopprytme
K80;Hjertearytmi INA
K80;Hjerteslag premature
K80;Prematur depolarisasjon
K80;SSS (sick sinus syndrome)
K80;SVES (supraventrikulære ekstraslag)
K80;Syk-sinus-syndrom
K80;Ventrikkelflimmer
K80;Ventrikkelflutter
K80;VES (ventrikulære ekstraslag)
K80;Atrial/junksjonell/ventrikulær prematur depolarisasjon
K80;Bigemi
K80;Ektopiske slag
K80;Premature slag
K80;Ventrikulær flimmer/flutter
K81;Bilyd hjerte/arterier IKA
K81;Arteriell stenoselyd
K81;Bilyd hjerte fysiologisk
K81;Bilyd hjerte
K81;Fremmedlyd hjerte
K81;Gnidningslyd hjerte
K81;Stenoselyd halskar
K81;Bilyd over hjerte/carotis-/nyrearterie
K81;Fysiologisk bilyd i barneår
K82;Pulmonal hjertesykdom
K82;Aneurisme arteria pulmonalis
K82;Atriovenøs fistel lungekar
K82;Cor pulmonale
K82;Hypertensjon pulmonal primær
K82;Pulmonal hjertesykdom kronisk
K82;Vaskulær lungesykdom INA
K82;Kronisk cor pulmonale
K82;Primær pulmonal hypertensjon
K82;Vaskulær lungesykdom
K83;Hjerteklaffesykdom IKA
K83;Aortainsuffisiens
K83;Aortaklaffefeil INA
K83;Aortastenose
K83;Mitralinsuffisiens
K83;Mitralklaffefeil INA
K83;Mitralstenose
K83;Pulmonalklaffefeil INA
K83;Pulmonalstenose
K83;Trikuspidalklaffefeil
K83;Ikke-reumatisk aorta-/mitral-/pulmonal/trikuspidalklafflidelse
K83;Kronisk endokarditt
K83;Mitralklaffprolaps
K84;Hjertesykdom IKA
K84;Adam-Stokes anfall
K84;Atrioventrikulært blokk
K84;AV-blokk
K84;AV-dissosiasjon
K84;BBBB (bilateral bundle branch block)
K84;Fascikkelblokk
K84;Grenblokk høyresidig
K84;Grenblokk INA
K84;Grenblokk venstresidig
K84;Hjerte forstørret
K84;Hjerteblokk
K84;Hjertestans INA
K84;Hjertestans vellykket oppliving
K84;Kardiomegali
K84;Kardiomyopati alkoholisk
K84;Kardiomyopati INA
K84;LAH-blokk (left anterior hemiblock)
K84;LBBB (left bundle branch block)
K84;Ledningsforstyrrelser hjerte
K84;Perikarditt kronisk IKA
K84;Plutselig hjertedød
K84;RBBB (right bundle branch block)
K84;SA-blokk (sinoatrialt blokk)
K84;Ventrikkeldilatasjon
K84;Wolff-Parkinson-Whites syndrom
K84;WPW-syndrom (Wolff-Parkinson-White)
K84;Annen ledningsforstyrrelse
K84;Forstørret hjerte
K84;Grenblokk
K84;Hjertestans
K84;Kardiomyopati
K84;Sykdom relatert til perikard
K84;Venstre grenblokk
K85;Forhøyet blodtrykk IKA
K85;Høyt blodtrykk uten hypertensjon
K85;Forhøyet blodtrykk som ikke møter kriteriene for K86 og K87
K85;Labil/forbigående hypertensjon
K86;Hypertensjon ukomplisert
K86;Hypertensjon essensiell
K86;Hypertensjon primær
K86;Essensiell hypertensjon
K86;Hypertensjon IKA
K86;Idiopatisk hypertensjon
K87;Hypertensjon med organkomplikasjoner
K87;Hypertensiv encefalopati
K87;Hypertensiv hjerte- og nyresykdom
K87;Hypertensiv hjertesvikt
K87;Hypertensiv hjertesykdom INA
K87;Hypertensiv nyresykdom nyresvikt
K87;Hypertensiv nyresykdom
